"Location","min_M","min_A","min_E","max_M","max_A","max_E","10_M","10_A","10_E","50_M","50_A","50_E","90_M","90_A","90_E"
"Sango Car Park","107","77","102","95.82","85.8","96.73","76.82","76.8","80.73","68","71","73","61","71","68"
"Fowobi Junction","93","90","74","93.88","90.69","85.48","80.88","78.69","77.48","76","76","76","71","72","72"
"Toll Gate Express","104","73","91","93.14","92.11","91.95","77.14","83.11","79.95","74","71","78","70","67","73"
"Toll Gate Area","95","98","110","95.1","100.98","104.39","82.1","86.98","88.39","78","77","84","73","72","76"
"Obasanjo Junction","97","114","88","94.68","103.59","93.2","80.68","85.59","82.2","76","80","79","71","72","74"
"Ota-Market Area","88","90","89","90.01","93.03","92.98","78.01","81.03","80.98","75","77","77","70","72","71"
"Ogun State Internal Revenue Area","98","80","75","92.51","82.01","82.5","75.51","70.01","72.5","67","67","69","60","62","65"
"Ota Local Government Secretariat","80","75","77","87.1","83.3","84.04","76.1","73.3","74.04","71","70","72","66","65","67"
"Jack Ross Area (Road)","88","61","94","87.28","78.78","88.31","73.28","72.78","73.31","69","66","70","62","67","64"
"Chelsea (IDL)","101","93","93","99.43","88.22","95.15","82.43","73.22","83.15","72","71","82","63","63","75"
"Iganmode Sec School Area/Road","86","90","108","91.27","91.82","100.52","80.27","79.82","84.52","76","76","90","72","72","74"
"All-Over Polytechnic Road","103","108","102","94.53","98.73","99.43","77.53","80.73","85.43","76","74","81","65","66","76"
"Olota Palace Junction","80","78","71","88.04","85.59","85.3","78.04","75.59","78.3","74","73","78","70","68","73"
"Ijoko Road","88","90","97","90.64","91.03","96.06","78.64","78.03","82.06","74","77","79","70","68","71"
"Ijako Tipper Garrage","76","107","81","81.13","94.91","87.72","70.13","76.91","76.72","67","70","72","62","65","67"
"Ijoko Railway Station","108","83","87","97.05","87.12","86.89","78.05","76.12","73.89","70","75","72","62","69","65"
"Ilogbo Road","76","114","92","82.45","101.6","94.49","72.45","82.6","82.49","70","79","80","66","68","74"
"Ijoko Market","87","81","96","83.7","85.18","88.62","69.7","74.18","72.62","67","73","70","61","67","62"
"Ifo Road","101","86","92","97.85","91.01","92.4","82.85","80.01","79.4","80","79","78","71","72","70"
"Igbala","86","86","92","89.48","88.48","91.11","77.48","76.48","77.11","74","78","76","68","68","66"
"Dalemo Junction","78","94","87","84.22","91.93","89.62","74.22","77.93","77.62","72","76","76","68","68","69"
"Ilo-Awela Road","77","96","85","83.01","91.64","89.41","72.01","76.64","78.41","68","73","77","63","66","71"
"Indomie Area","93","106","127","95.34","101.67","109.22","83.34","86.67","88.22","80","83","81","75","76","73"
"Tower Aluminum Company","105","89","83","88.59","82.05","78.66","68.59","66.05","63.66","59","64","59","55","55","53"
"Kolokote Area","126","52","82","100.3","71.1","80.29","75.3","64.1","66.29","62","59","63","56","54","56"
"Owode Area","107","89","103","99.61","93.88","98.21","83.61","82.88","83.21","78","80","79","73","75","73"
"Idiroko Road(Chelsea Area)","104","96","92","98.07","95.21","92.26","82.07","82.21","79.26","78","81","77","70","74","70"
"Bells Drive","112","88","106","93.56","83.48","91.48","71.56","68.48","71.48","63","67","69","54","58","56"
"Sifor Area","1.04","1.14","1.04","6","20","13","77.5","72.7","","78","79","78","70","74","69"
"Bells University Junction","1.05","1.11","1.15","8","15","8","75.9","80.3","76","71","75","70","66","68","63"
"Canaan Land","1.11","1.24","1.07","13","19","11","84.6","75.1","80","73","74","75","69","69","72"
"May And Baker Close","0.96","0.97","0.93","10","11","14","53.1","51.1","78","72","75","72","67","69","67"
"High Court Area","1.12","1.12","1.1","10","9","10","77.6","76.7","55","48","49","45","46","45","41"
"Nestle Area","1.05","1.08","1.16","8","10","11","76.5","81","80","77","75","76","72","70","70"
"Iyana-Iyesi Market","1.09","1.06","1.45","11","10","4","70","79.6","80","75","74","74","72","68","69"
"Iyana-Iyesi Junction","1.16","1.12","1.16","11","12","11","80.1","80.9","82","66","67","79","63","62","78"
"Oju-Ore Junction","1.37","1.26","1.45","13","12","9","86.9","79.6","85","78","75","78","73","71","74"
"Joju Junction","1.1","1.07","1.07","11","10","10","76.1","75.1","83","81","76","78","77","73","74"
"Joju Express Road","1.17","1.2","1.11","11","13","7","83","80.7","79","74","73","73","68","69","69"
"Sango Under Bridge","1.35","1.49","1.7","16","19","12","94.1","93.4","82","80","80","77","75","75","75"
"Sango Car Park","1.1","1.1","1.15","19","9","16","76.8","80.7","87","79","83","78","75","77","75"
"Fowobi Junction","1.16","1.12","1.11","13","12","8","79.9","77.5","84","68","71","73","61","71","68"
"Toll Gate Express","1.1","1.19","1.14","16","9","12","81.1","80","80","76","76","76","71","72","72"
"Toll Gate Area","1.26","1.34","1.61","13","14","16","85.2","88.4","85","74","71","78","70","67","73"
"Obasanjo Junction","1.15","1.22","1.17","14","18","11","83.8","82.2","92","78","77","84","73","72","76"
"Ota-Market Area","1.2","1.25","1.47","12","12","12","79.8","81","85","76","80","79","71","72","74"
"Ogun State Internal Revenue Area","1.37","1.27","1.61","17","12","10","73.6","72.5","83","75","77","77","70","72","71"
"Ota Local Government Sect","1.38","1.33","1.65","11","10","10","74.9","74","75","67","67","69","60","62","65"
"Jack Ross Area (Road)","1.09","1.06","1.45","14","6","15","73","73.3","77","71","70","72","66","65","67"
"Chelsea (IDL)","1.1","0.98","1.28","17","15","12","79.9","83.2","79","69","66","70","62","67","64"
"Iganmode Sec School A/R","1.15","1.14","1.21","11","12","16","80.1","84.5","87","72","71","82","63","63","75"
"All-Over Polytechnic Road","1.11","1.14","1.22","17","18","14","79.4","85.4","90","76","76","90","72","72","74"
"Olota Palace Junction","1.2","1.16","1.42","10","10","7","77","78.3","90","76","74","81","65","66","76"
"Ijoko Road","1.12","1.11","1.17","12","13","14","78.4","82.1","80","74","73","78","70","68","73"
"Ijako Tipper Garrage","1","1.1","1.1","11","18","11","74.7","76.7","85","74","77","79","70","68","71"
"Ijoko Railway Station","1.2","1.17","1.34","19","11","13","77.2","73.9","78","67","70","72","62","65","67"
"Ilogbo Road","1.04","1.18","1.19","10","19","12","80","82.5","78","70","75","72","62","69","65"
"Ijoko Market","1.07","1.14","1.32","14","11","16","72.5","72.6","86","70","79","80","66","68","74"
"Ifo Road","1.18","1.14","1.13","15","11","13","81.7","79.4","78","67","73","70","61","67","62"
"Igbala","1.11","1.1","1.1","12","12","14","77","77.1","83","80","79","78","71","72","70"
"Dalemo Junction","1.06","1.11","1.11","10","14","12","76.5","77.6","80","74","78","76","68","68","66"
"Ilo-Awela Road","1.03","1.1","1.12","11","15","11","74.9","78.4","81","72","76","76","68","68","69"
"Indomie Area","1.19","1.24","1.26","12","15","21","85.3","88.2","82","68","73","77","63","66","71"
"Tower Aluminum Company","0.91","0.88","0.98","20","16","15","67.5","63.7","94","80","83","81","75","76","73"
"Kolokote Area","1","0.85","1.02","25","7","14","72.6","66.3","68","59","64","59","55","55","53"
"Owode Area","1.29","1.28","1.51","16","11","15","83.3","83.2","70","62","59","63","56","54","56"
"Idiroko Road(Chelsea Area)","1.17","1.17","1.13","16","13","13","82.1","79.3","88","78","80","79","73","75","73"
"Bells University Drive","1.1","1.05","1.3","22","15","20","70.3","71.5","83","78","81","77","70","74","70"
"","","","","","","","","","76","63","67","69","54","58","56"
"","","","","","","","","","77","78","79","78","70","74","69"
"","","","","","","","","","78","71","75","70","66","68","63"
"","","","","","","","","","80.33","73","74","75","69","69","72"
"","","","","","","","","","75.06","72","75","72","67","69","67"
"","","","","","","","","","51.14","48","49","45","46","45","41"
"","","","","","","","","","76.71","77","75","76","72","70","70"
"","","","","","","","","","80.95","75","74","74","72","68","69"
"","","","","","","","","","79.63","66","67","79","63","62","78"
"","","","","","","","","","80.89","78","75","78","73","71","74"
"","","","","","","","","","79.59","81","76","78","77","73","74"
"","","","","","","","","","75.13","74","73","73","68","69","69"
"","","","","","","","","","80.73","80","80","77","75","75","75"
"","","","","","","","","","93.36","79","83","78","75","77","75"
"","","","","","","","","","80.73","68","71","73","61","71","68"
"","","","","","","","","","77.48","76","76","76","71","72","72"
"","","","","","","","","","79.95","74","71","78","70","67","73"
"","","","","","","","","","88.39","78","77","84","73","72","76"
"","","","","","","","","","82.2","76","80","79","71","72","74"
"","","","","","","","","","","75","77","77","70","72","71"
"","","","","","","","","","72.5","67","67","69","60","62","65"
"","","","","","","","","","74.04","71","70","72","66","65","67"
"","","","","","","","","","73.31","69","66","70","62","67","64"
"","","","","","","","","","83.15","72","71","82","63","63","75"
"","","","","","","","","","84.52","76","76","90","72","72","74"
"","","","","","","","","","85.43","76","74","81","65","66","76"
"","","","","","","","","","78.3","74","73","78","70","68","73"
"","","","","","","","","","82.06","74","77","79","70","68","71"
"","","","","","","","","","76.72","67","70","72","62","65","67"
"","","","","","","","","","73.89","70","75","72","62","69","65"
"","","","","","","","","","82.49","70","79","80","66","68","74"
"","","","","","","","","","72.62","67","73","70","61","67","62"
"","","","","","","","","","79.4","80","79","78","71","72","70"
"","","","","","","","","","77.11","74","78","76","68","68","66"
"","","","","","","","","","77.62","72","76","76","68","68","69"
"","","","","","","","","","78.41","68","73","77","63","66","71"
"","","","","","","","","","88.22","80","83","81","75","76","73"
"","","","","","","","","","63.66","59","64","59","55","55","53"
"","","","","","","","","","66.29","62","59","63","56","54","56"
"","","","","","","","","","83.21","78","80","79","73","75","73"
"","","","","","","","","","79.26","78","81","77","70","74","70"
"","","","","","","","","","71.48","63","67","69","54","58","56"
"","","","","","","","","","","78","79","78","70","74","69"
